Board Layer Stack
Number;Name;Type;Manufacturer;Material;Process;Thickness (mm);Weight (oz);Dk;Df;Orientation;Copper Orientation;Pullback distance (mm);Description;Color;Constructions;Solid (%);Resin (%);Frequency (GHz);GlassTransTemp (°C)
;Top Overlay;Overlay;;;;;;;;;;;;;;;;;
;Top Solder;Solder Mask;Altium Designer;SM-003;;0.0254;;4;0.03;;;;Solder Mask;#FF0000FF;;1;;1;125
1;Top RF;Signal;Altium Designer;CF-003;ED;0.018;0.5;;;Top;Above;;Copper Foil;;;;;;
;Dielectric 1;Prepreg;Altium Designer;2116 (Tg170);;0.125;;5.1;0.02;;;;;;2116;;57;1;180
2;AGND;Plane;Altium Designer;CF-003;ED;0.018;0.5;;;;Above;0.508;Copper Foil;;;;;;
;Dielectric 2;Core;Altium Designer;FR-4 (Tg170);;0.3;;4.5;0.02;;;;;;1080;;62;1;180
3;AVDD;Plane;Altium Designer;CF-003;ED;0.018;0.5;;;;Below;0.508;Copper Foil;;;;;;
;Dielectric 3;Prepreg;Altium Designer;2116 (Tg170);;0.125;;5.1;0.02;;;;;;1080;;62;1;180
4;DVDD;Plane;Altium Designer;CF-003;ED;0.018;0.5;;;;Above;0.508;Copper Foil;;;;;;
;Dielectric 4;Core;ISOLA;FR-4 (Tg170);;0.3;;4.5;0.015;;;;;;2116;;56;1;170
5;GND 2;Plane;Altium Designer;CF-003;ED;0.018;0.5;;;;Below;0.508;Copper Foil;;;;;;
;Dielectric 5;Prepreg;Altium Designer;2116 (Tg170);;0.125;;5.1;0.02;;;;;;1080;;62;1;180
6;Signal 1;Signal;Altium Designer;CF-003;ED;0.018;0.5;;;Not allowed;Above;;Copper Foil;;;;;;
;Dielectric 6;Core;Altium Designer;FR-4 (Tg170);;0.3;;4.5;0.02;;;;;;1080;;62;1;180
7;GND 1;Plane;Altium Designer;CF-003;ED;0.018;0.5;;;;Below;0.508;Copper Foil;;;;;;
;Dielectric 7;Prepreg;Altium Designer;2116 (Tg170);;0.125;;5.1;0.02;;;;;;2116;;57;1;180
8;Bottom Layer;Signal;Altium Designer;CF-003;ED;0.018;0.5;;;Bottom;Below;;Copper Foil;;;;;;
;Bottom Solder;Solder Mask;Altium Designer;SM-003;;0.0254;;4;0.03;;;;Solder Mask;#FF0000FF;;1;;1;125
;Bottom Overlay;Overlay;;;;;;;;;;;;;;;;;


Impedances
#;Target impedance (Ω);Type;Trace layer;Calculated impedance (Ω);Trace width (mm);Gap (mm);Reference layers;Stack
1;50;Single;Top RF;46.9106;0.2;;AGND;Board Layer Stack

2;50;Single;Signal 1;49.5672;0.12;;GND 2;GND 1;Board Layer Stack

3;50;Single;Bottom Layer;46.9106;0.2;;GND 1;Board Layer Stack

4;100;Diff pair;Top RF;90.1216;0.14;0.12;AGND;Board Layer Stack

5;100;Diff pair;Signal 1;98.6792;0.1;0.22;GND 2;GND 1;Board Layer Stack

6;100;Diff pair;Bottom Layer;90.1216;0.14;0.12;GND 1;Board Layer Stack


Via types
#;Name;Type;Layers;Stack
1;Thru 1:8;Thru;Top RF-Bottom Layer;Board Layer Stack


No back drills
