Field=#~Integer~#~50|Field=P/N~String~P/N~135|Field=Manufacturer~String~Manufacturer~182|Field=Name~String~Name~190|Field=LibRef~String~LibRef~145|Field=Description~String~Description~438|Field=Footprint~String~Footprint~151|Field=Designator~String~Designator~1169|Field=Value~String~Value~52|Field=Voltage~String~Voltage~119|Field=Quantity~Integer~Quantity~67|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Daughter_Board.PrjPcb|ReportField=ProjectFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb|ReportField=Title~Bill of Materials For Project [Daughter_Board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~410|ReportField=ReportTime~19:22:02|ReportField=ReportDate~14.03.2019|ReportField=ReportDateTime~14.03.2019 19:22:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~14.03.2019|ReportField=CurrentTime~19:18:53|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium_Projects\Daughter_Board\Digital.SchDoc|ReportField=DocumentName~Digital.SchDoc|ReportField=DocumentNumber~ПЛАС.ХХХХХХ.ХХХ ХХ|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17.01.2019|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~Daughter_Board.PrjPcb|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~{}|ReportField=SheetTotal~{}|ReportField=Time~|ReportField=Title~{Наименование}|ReportField=DocumentType~{Документ}|ReportField=DocumentType1str~|ReportField=DocumentType2str~|ReportField=EngineerName~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{М.}|ReportField=NormInspection~{Н.контр.}|ReportField=ProcessInspection~{Т.контр.}|ReportField=Scale~{Мш.}|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~Daughter_Board.PrjPcb|ReportField=DataSourceFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb
1||||Test  Point||Control Point|K3, K4|||2
2|GRM1555C1H100FA01D|Murata||CAP|SMD Capacitor|C0402|C14, C16, C36, C41, C47, C49, C58, C98|10pF|50V|8
3|GRM1555C1H101FA01D|Murata||CAP|SMD Capacitor|C0402|C4, C17, C18, C59, C64, C75, C83, C85, C103, C105|100pF|50V|10
4|GRM1555C1H102JA01D|Murata||CAP|SMD Capacitor|C0402|C3, C24, C25, C29, C32, C35, C38, C44, C95, C96, C101, C102, C125, C127, C131|1000pF|50V|15
5|GRM1555C1H120FA01D|Murata||CAP|SMD Capacitor|C0402|C51, C54, C60, C65|12pF|50V|4
6|GRM1555C1H1R5WA01D|Murata||CAP|SMD Capacitor|C0402|C12, C209, C210, C211, C212|1.5pF|50V|5
7|GRM1555C1H220FA01D|Murata||CAP|SMD Capacitor|C0402|C37, C42, C48, C50, C53, C56, C62, C67, C76, C80, C86, C90|22pF|50V|12
8|GRM1555C1H390FA01D|Murata||CAP|SMD Capacitor|C0402|C52, C55, C61, C66|39pF|50V|4
9|GRM1555C1H3R0CA01D|Murata||CAP|SMD Capacitor|C0402|C77, C81, C87, C91|3pF|50V|4
10|GRM1555C1H3R6CA01D|Murata||CAP|SMD Capacitor|C0402|C78, C88|3.6pF|50V|2
11|GRM1555C1H680FA01D|Murata||CAP|SMD Capacitor|C0402|C22, C94|68pF|50V|2
12|GRM1555C1H6R0DA01D|Murata||CAP|SMD Capacitor|C0402|C79, C89|6pF|50V|2
13|GRM1555C1HR10WA01D|Murata||CAP|SMD Capacitor|C0402|C33|0.1pF|50V|1
14|GRM1555C1HR20WA01D|Murata||CAP|SMD Capacitor|C0402|C34|0.2pF|50V|1
15|GRM1555C1HR30WA01D|Murata||CAP|SMD Capacitor|C0402|C27, C39, C40, C99|0.3pF|50V|4
16|GRM155R61C104KA88D|Murata||CAP|SMD Capacitor|C0402|C182, C196|0.1uF|16V|2
17|GRM155R71A104KA01J|Murata||CAP|SMD Capacitor|C0402|C5, C7, C9, C71, C73, C82, C84, C113, C115, C143, C144, C145, C146, C147, C148, C159, C160, C161, C162, C163, C164, C198|0.1uF|10V|22
18|GRM155R71E103KA01D|Murata||CAP|SMD Capacitor|C0402|C10, C13, C19, C28, C46, C57, C97, C100, C117, C118, C123, C124, C130, C132, C133, C135, C136, C138, C139, C140, C149, C151, C152, C154, C155, C156, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177|10nF|25V|39
19|GRM155R71H103JA88D|Murata||CAP|SMD Capacitor|C0402|C1, C15|10nF|50V|2
20|GRM1885C1H122GA01D|Murata||CAP|SMD Capacitor|C0603|C21, C93|1200pF|50V|2
21|GRM1885C1H222FA01D|Murata||CAP|SMD Capacitor|C0603|C31, C70, C108, C112|2200pF|50V|4
